sample,treatment,Alanine,Asparagine,Aspartic_acid,Fumarate,Glutamic_acid,Glycine,Histidine,Ornithine,Phosphoric acid,Pyruvic_acid,Serine,Urea
con1,Control,69104737.22,2229587.10,45544670.04,524133.88,23535888.03,34114301.24,14071.19,15280626.19,15666019.54,1347352.34,38177819.14,70905725.89
con10,Control,44495874.31,561112.16,78552621.16,357307.57,25405150.97,29080318.76,12175.21,20955578.76,14679932.19,968005.25,36776947.47,157243326.38
con11,Control,28747740.25,1091838.85,18695554.36,511007.54,14217036.13,13881043.81,196.12,5910074.76,10113951.58,466309.79,21981354.24,40217627.82
con2,Control,17201444.94,205407.89,17240436.15,107588.83,8485797.12,12287771.15,130.80,3372694.41,10192483.82,540330.04,13555091.71,43357808.89
con3,Control,46351713.84,8405851.19,51874151.51,201681.28,25565536.76,30122440.39,14085.77,17790715.63,15023270.31,1203486.14,38621909.20,103557035.36
con4,Control,78118169.13,4298135.92,78959229.85,444617.01,31594549.33,36412791.18,81537.50,23445984.15,22468750.11,1620750.01,48568232.89,76433017.71
con5,Control,22310394.32,381527.13,32363899.34,236150.08,16093698.69,20117853.08,53.19,8714072.05,13850901.61,918530.37,21610460.59,75792631.23
con6,Control,46262236.82,2591309.98,30793964.20,319857.00,23964133.17,27504637.44,417.38,14155821.03,17045445.22,1249740.38,30815343.76,87101374.42
con7,Control,30070030.92,1188977.41,22341222.15,214107.53,10333502.54,15373909.17,152.27,6662950.80,10158372.15,381913.60,17594247.48,68413687.56
con8,Control,29356174.83,863360.86,27815811.32,216839.07,10212655.04,15328279.42,277.79,7558913.51,11948974.58,480429.48,19314062.66,57341470.65
con9,Control,48011684.60,818298.69,68472700.31,677359.50,35811642.30,36040843.35,16423.17,18108180.47,22222816.53,1282774.67,42804429.73,116184660.84
cpf1,Chlorpyrifos,72510031.17,4325053.72,51329910.62,414343.53,24963172.91,31835180.97,19540.01,18452892.37,14052936.73,1425282.63,38845119.09,79619432.36
cpf10,Chlorpyrifos,30225374.99,1355050.70,26677991.82,296331.98,13361479.51,21993328.50,74.38,5314654.79,11872020.64,570360.38,24489028.93,61335781.78
cpf11,Chlorpyrifos,46755974.10,1859445.25,48514491.56,342032.98,28152039.37,32321521.53,4414.97,14421689.51,16519633.86,825641.02,38568546.56,90983115.46
cpf2,Chlorpyrifos,39644178.46,2516399.27,26242319.24,417518.90,21424555.64,24787241.37,1595.55,9559632.16,17079416.69,1514382.80,24285623.87,131110768.90
cpf3,Chlorpyrifos,63984433.23,11921429.28,26077349.02,292887.53,40029275.70,39206600.76,100255.77,30087218.26,16267361.87,1322459.95,47018612.84,88283346.28
cpf4,Chlorpyrifos,23384042.57,398724.79,22692443.82,314945.32,13052177.16,19031081.95,338.97,4174446.93,12699232.01,644150.12,20838981.28,86103091.82
cpf5,Chlorpyrifos,41968765.03,4943247.39,34792548.82,474026.67,24454641.01,25890397.08,3386.45,13303035.94,17942213.28,932857.48,31704933.12,105223581.90
cpf6,Chlorpyrifos,55609017.30,9393088.46,76636881.05,271674.91,36051189.16,37196441.98,193456.77,25521185.42,15886303.10,1385538.07,48461031.89,75338265.87
cpf7,Chlorpyrifos,54937632.94,873015.84,80230985.77,168362.53,33951219.02,36656987.09,62884.32,28575213.01,14478267.99,877299.13,44889132.81,61069822.58
cpf8,Chlorpyrifos,58512574.85,1105522.75,42388844.68,388173.90,21184729.48,27823754.48,241.78,10940995.57,7887924.31,590145.49,28960851.61,68351111.91
cpf9,Chlorpyrifos,48584691.85,452202.15,55721652.78,292447.39,19136905.06,27538489.07,1073.71,10875774.14,13169433.46,704033.95,31472580.32,157154677.36
d1,24D,78410756.33,9826837.98,28392547.89,1010806.62,50604378.69,40505879.84,463079.51,35671013.12,18655867.85,2992465.51,57656731.17,136903802.09
d10,24D,78899788.60,392957.50,57122928.19,565787.91,75254263.04,62301119.84,346356.89,43633349.66,9887924.31,2759420.97,79750262.71,68268087.03
d2,24D,65837554.22,2172603.02,44636576.74,263663.62,31354483.77,31112710.30,12532.13,18558880.80,17713629.25,1899466.57,32022323.66,134925229.62
d3,24D,79219421.19,7368815.97,63124617.23,560871.64,32889712.84,35061324.74,90036.51,28185872.50,11321617.60,2027870.43,44884673.13,163477935.73
d4,24D,81410893.53,7628054.98,65931304.23,1060133.21,41575215.65,35881439.04,153108.79,23327437.09,18941006.86,1449980.25,48573649.18,196275902.77
d4,24D,17267500.09,207641.44,26896001.62,109949.54,9146636.63,14040024.93,305.37,4354932.67,8638654.18,306877.92,15933390.50,40360534.41
d5,24D,57036286.48,4601171.32,51607904.48,934875.29,33289902.19,40228269.51,22353.02,17250065.32,16886149.14,1328685.19,44116323.12,139701235.21
d6,24D,21178636.19,131509.56,16741321.25,176509.65,8484405.07,14286858.65,158.21,4090635.40,10950670.55,587070.14,13469403.69,97259859.97
d7,24D,63893963.01,2136249.83,59710289.45,336243.29,26814807.84,33051398.34,49723.80,19331580.12,20104184.51,1015399.19,39685132.02,55058676.16
d8,24D,22574000.05,1217301.35,24133152.33,218862.66,10672268.49,13265115.15,142.94,6431677.84,9865135.78,651874.43,18051962.34,62089694.28
d9,24D,32476267.89,496356.79,53648607.12,171943.84,19961747.41,24348900.25,1844.73,11788665.07,12166267.13,685910.74,29477871.31,58253781.04
